,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,greenbelt,nuisance,view,condition,grade,heat_source,sewer_system,sqft_above,sqft_basement,sqft_garage,sqft_patio,yr_built,yr_renovated,address,lat,long,postal_code,grade_code,condition_code,price_sqft
14099,921049101,3/28/2022,685000.0,3,3.0,2240,31252,1.0,NO,NO,YES,NONE,Average,8 Good,Electricity,PUBLIC,1440,1350,550,140,1978,0,"2825 South 304th Street, Federal Way, Washington 98003, United States",47.32929,-122.29615,98003,8,3,305.80357142857144
14106,9485920150,1/5/2022,680000.0,3,2.0,2230,33750,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PRIVATE,1490,1350,610,170,1978,0,"28233 188th Avenue Southeast, Kent, Washington 98042, United States",47.34827,-122.09172,98042,8,4,304.93273542600895
14107,3575302646,5/25/2022,1050000.0,3,3.0,1690,5000,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PRIVATE,1170,1090,570,190,1978,0,"900 207th Avenue Northeast, Sammamish, Washington 98074, United States",47.61773,-122.0641,98074,7,4,621.301775147929
14130,2597710070,3/1/2022,840000.0,2,2.0,1770,7607,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,1770,0,450,540,1987,0,"19342 133rd Place Southeast, Renton, Washington 98058, United States",47.42872,-122.163465,98058,8,4,474.5762711864407
14135,6817801050,5/5/2022,1200000.0,3,2.0,1160,10316,1.0,NO,NO,NO,NONE,Very Good,7 Average,Gas,PUBLIC,920,540,400,240,1983,0,"22960 Northeast 26th Place, Sammamish, Washington 98074, United States",47.63396,-122.03366499999998,98074,7,5,1034.4827586206898
14152,5297200095,8/18/2021,950000.0,4,2.5,1930,4225,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1170,1140,510,80,1990,0,"5125 47th Avenue South, Seattle, Washington 98118, United States",47.55541,-122.274645,98118,7,3,492.2279792746114
14164,1862900720,7/20/2021,586000.0,3,2.0,1330,7078,1.0,NO,NO,NO,NONE,Very Good,7 Average,Gas,PUBLIC,1330,0,440,280,1991,0,"11630 Southeast 219th Place, Kent, Washington 98031, United States",47.4057,-122.18549,98031,7,5,440.6015037593985
14166,3356401375,12/14/2021,415000.0,4,1.5,1680,12000,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1680,0,260,0,1978,0,"901 Celery Avenue, Algona, Washington 98001, United States",47.29018,-122.25279,98001,7,3,247.02380952380952
14168,2522029028,11/22/2021,597500.0,2,1.0,770,108900,1.0,NO,NO,NO,NONE,Average,6 Low Average,Electricity,PRIVATE,770,0,0,0,1991,0,"12601 Southwest 264th Street, Vashon, Washington 98070, United States",47.36689000000001,-122.49601,98070,6,3,775.974025974026
14201,8079000030,5/16/2022,1050000.0,4,3.0,1880,7557,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,1420,760,500,480,1987,0,"4805 Northeast 21st Street, Renton, Washington 98059, United States",47.5107,-122.15479,98059,8,4,558.5106382978723
14225,5113260290,1/31/2022,460000.0,3,2.0,1490,6360,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1490,0,440,40,1991,0,"21712 Southeast 238th Street, Maple Valley, Washington 98038, United States",47.38896,-122.051075,98038,7,3,308.7248322147651
14246,1796360460,8/2/2021,407000.0,4,2.0,1500,11515,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1500,0,360,0,1981,0,"26222 190th Place Southeast, Covington, Washington 98042, United States",47.36627,-122.08764,98042,7,4,271.3333333333333
14253,3902300230,4/28/2022,1460000.0,4,3.0,2690,8742,1.0,NO,NO,YES,NONE,Very Good,8 Good,Gas,PUBLIC,1730,1320,490,580,1982,0,"10222 119th Avenue Northeast, Kirkland, Washington 98033, United States",47.691945,-122.18246,98033,8,5,542.7509293680297
14284,1626069021,8/10/2021,775000.0,4,2.5,2190,42900,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PRIVATE,1390,1250,520,220,1980,0,"15021 221st Avenue Northeast, Woodinville, Washington 98077, United States",47.73699000000001,-122.04312,98077,8,3,353.8812785388128
14295,600000130,5/16/2022,1500000.0,6,4.0,3910,9614,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,2290,2660,1040,150,1987,0,"1525 South Ferdinand Street, Seattle, Washington 98108, United States",47.558815,-122.31222,98108,8,4,383.6317135549872
14313,9197100083,9/29/2021,520000.0,3,2.0,1400,5000,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1400,0,440,0,1995,0,"609 Rachael Place, Kent, Washington 98032, United States",47.37636,-122.23919,98032,7,4,371.42857142857144
14314,1545803430,4/12/2022,600000.0,3,2.0,1280,7930,1.0,NO,NO,NO,NONE,Very Good,7 Average,Gas,PUBLIC,1280,0,480,50,1986,0,"21841 Southeast 268th Street, Maple Valley, Washington 98038, United States",47.36124,-122.04919,98038,7,5,468.75
14318,3985300196,3/17/2022,1200000.0,5,3.0,2090,13646,1.0,NO,NO,NO,NONE,Very Good,7 Average,Gas,PUBLIC,1390,1310,510,850,1979,0,"20042 12th Avenue Northeast, Shoreline, Washington 98155, United States",47.77474,-122.31538,98155,7,5,574.1626794258373
14385,5309100010,7/21/2021,880000.0,3,2.0,1740,4860,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1740,0,0,400,1978,0,"6755 9th Avenue Northwest, Seattle, Washington 98117, United States",47.67935,-122.368965,98117,7,3,505.7471264367816
14397,2310040410,3/10/2022,865000.0,4,2.5,2090,8896,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,1590,770,620,100,1998,0,"27924 227th Court Southeast, Maple Valley, Washington 98038, United States",47.35093,-122.03798,98038,8,4,413.8755980861244
14443,1545807230,2/8/2022,639950.0,3,2.0,1600,8430,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1600,0,480,720,1979,0,"26608 214th Avenue Southeast, Maple Valley, Washington 98038, United States",47.362745,-122.056995,98038,7,4,399.96875
14446,1190500025,3/16/2022,1275000.0,3,2.0,1640,8070,1.0,NO,NO,NO,AVERAGE,Average,8 Good,Gas,PUBLIC,1640,0,590,570,1988,0,"1133 North 38th Street, Renton, Washington 98056, United States",47.52551,-122.203144,98056,8,3,777.439024390244
14464,4027701075,9/29/2021,700000.0,3,2.0,1690,13303,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1690,0,480,150,1988,0,"6049 Northeast 200th Street, Kenmore, Washington 98028, United States",47.77337,-122.26367,98028,8,3,414.20118343195264
14476,3579000790,3/22/2022,1310000.0,3,2.0,2350,9355,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1340,1260,430,150,1983,0,"6824 Northeast 160th Street, Kenmore, Washington 98028, United States",47.74458,-122.24862,98028,8,3,557.4468085106383
14482,3888100050,6/17/2021,1950000.0,3,3.5,2760,5051,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1380,1380,270,140,2018,0,"9917 130th Avenue Northeast, Kirkland, Washington 98033, United States",47.689045,-122.16798,98033,8,3,706.5217391304348
14487,3374500340,10/20/2021,735000.0,4,2.0,2300,7805,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,2300,0,490,230,1990,0,"21424 129th Avenue Southeast, Kent, Washington 98031, United States",47.4097,-122.16979,98031,8,4,319.5652173913044
14497,8598900070,6/25/2021,990000.0,6,3.0,2580,6787,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1590,1500,510,240,1999,0,"134 North 203rd Street, Shoreline, Washington 98133, United States",47.77683,-122.35742,98133,8,3,383.72093023255815
14512,9284800016,12/30/2021,570000.0,3,1.5,1790,5750,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1790,0,0,70,1978,0,"5411 26th Avenue Southwest, Seattle, Washington 98106, United States",47.55331500000001,-122.365915,98106,7,3,318.43575418994413
14515,2214800400,5/16/2022,705000.0,4,3.0,1980,7708,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1360,1140,520,170,1980,0,"6113 South 292nd Place, Auburn, Washington 98001, United States",47.3398,-122.257625,98001,7,3,356.06060606060606
14527,9538900090,5/24/2022,1650000.0,4,3.0,2260,16665,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,1170,1090,420,460,1986,0,"2203 135th Place Southeast, Bellevue, Washington 98005, United States",47.591,-122.159951,98005,8,4,730.0884955752213
14530,9407111080,4/13/2022,935000.0,3,3.0,1510,9720,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PRIVATE,1030,960,480,140,1990,0,"42822 Southeast 170th Place, North Bend, Washington 98045, United States",47.44626,-121.7684,98045,7,4,619.205298013245
14553,3329530260,10/28/2021,375000.0,3,2.0,1410,14039,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1410,0,440,140,1985,0,"5717 South 301st Court, Auburn, Washington 98001, United States",47.33154,-122.26168,98001,7,3,265.9574468085106
14564,7140200460,12/30/2021,556000.0,4,3.0,1930,7350,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1230,1150,450,80,1980,0,"25817 128th Place Southeast, Kent, Washington 98030, United States",47.37015,-122.17055,98030,7,4,288.08290155440415
14570,2222900153,4/8/2022,995000.0,4,3.0,2140,5632,1.0,NO,NO,YES,NONE,Average,8 Good,Gas,PUBLIC,1320,1260,440,170,2000,0,"1202 North 192nd Street, Shoreline, Washington 98133, United States",47.76817,-122.34289,98133,8,3,464.95327102803736
14579,2460700320,8/24/2021,645000.0,3,2.5,1650,7664,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1160,660,440,0,1981,0,"12953 Southeast 157th Place, Renton, Washington 98058, United States",47.461255,-122.166825,98058,7,3,390.90909090909093
14583,8001210040,3/29/2022,175000.0,5,3.0,2150,8190,1.0,NO,NO,YES,NONE,Good,7 Average,Gas,PUBLIC,1240,1200,480,100,1978,0,"4634 South 288th Place, Auburn, Washington 98001, United States",47.34315,-122.274325,98001,7,4,81.3953488372093
14603,7802900602,5/20/2022,737500.0,3,1.0,1380,19110,1.0,NO,NO,NO,GOOD,Average,7 Average,Gas,PRIVATE,1200,1200,0,530,1981,0,"37205 Southeast 80th Street, Snoqualmie, Washington 98065, United States",47.52834,-121.84424,98065,7,3,534.4202898550725
14606,6817801240,8/27/2021,738000.0,2,1.0,770,11712,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,770,0,440,0,1981,0,"22934 Northeast 27th Place, Sammamish, Washington 98074, United States",47.63446,-122.03452,98074,7,3,958.4415584415584
14610,1774230200,8/3/2021,955189.0,3,3.0,3040,39139,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PRIVATE,1950,1770,680,600,1979,0,"18802 185th Avenue Northeast, Woodinville, Washington 98077, United States",47.76357,-122.09125,98077,8,3,314.20690789473684
14619,2723069106,1/28/2022,750000.0,3,2.0,1570,110642,1.0,NO,NO,YES,NONE,Very Good,6 Low Average,Electricity,PRIVATE,1570,0,560,390,1986,0,"16818 230th Avenue Southeast, Maple Valley, Washington 98038, United States",47.45108,-122.03512,98038,6,5,477.7070063694268
14624,8956200810,5/4/2022,980000.0,3,2.0,2694,6300,1.0,NO,NO,NO,NONE,Average,9 Better,Gas,PUBLIC,1766,928,660,248,2016,0,"34456 56th Avenue South, Auburn, Washington 98001, United States",47.29285,-122.264785,98001,9,3,363.7713437268003
14657,7710100082,3/11/2022,500000.0,3,1.0,1420,8500,1.0,NO,NO,NO,NONE,Very Good,6 Low Average,Electricity,PUBLIC,1420,0,0,40,1987,0,"1936 Harding Street, Enumclaw, Washington 98022, United States",47.209315,-121.99927,98022,6,5,352.11267605633805
14664,109200730,11/12/2021,530000.0,3,2.5,1850,7684,1.0,NO,NO,YES,NONE,Good,8 Good,Gas,PUBLIC,1320,1090,560,320,1979,0,"33945 28th Place Southwest, Federal Way, Washington 98023, United States",47.29748,-122.36994,98023,8,4,286.4864864864865
14674,5468770320,3/30/2022,750000.0,4,2.0,1820,6270,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,1820,0,490,0,2003,0,"15031 Southeast 279th Place, Kent, Washington 98042, United States",47.35112,-122.140295,98042,8,4,412.0879120879121
14677,8944290120,9/15/2021,420000.0,2,2.0,1220,4255,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1220,0,460,240,1985,0,"23441 130th Avenue Southeast, Kent, Washington 98031, United States",47.3915,-122.16694,98031,7,4,344.26229508196724
14680,2920700041,7/6/2021,875000.0,5,3.0,2360,4794,1.0,NO,NO,YES,NONE,Average,7 Average,Gas,PUBLIC,1410,1410,460,160,1998,0,"210 North 87th Street, Seattle, Washington 98103, United States",47.69265,-122.35612,98103,7,3,370.76271186440675
14690,1598600209,8/23/2021,675000.0,6,3.0,3080,8163,1.0,NO,NO,YES,AVERAGE,Good,7 Average,Gas,PUBLIC,1580,1580,400,300,1985,0,"517 Alvord Avenue North, Kent, Washington 98030, United States",47.38594000000001,-122.22054,98030,7,4,219.15584415584416
14694,8100000080,7/16/2021,500000.0,3,2.0,1070,7200,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1070,0,490,70,1994,0,"32210 Sunny Lane, Black Diamond, Washington 98010, United States",47.312855,-122.022845,98010,7,3,467.2897196261682
14702,1776450070,9/16/2021,968800.0,3,2.0,2100,8732,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1620,790,530,130,1981,0,"7339 Northeast 204th Place, Kenmore, Washington 98028, United States",47.775585,-122.24391,98028,7,4,461.3333333333333
14710,6632900607,9/14/2021,770000.0,4,2.5,1880,4963,1.0,NO,NO,NO,NONE,Average,8 Good,Electricity,PUBLIC,1190,690,420,80,1986,0,"1116 Northeast 150th Court, Shoreline, Washington 98155, United States",47.737925,-122.316295,98155,8,3,409.5744680851064
14724,9407001890,9/2/2021,665000.0,3,2.0,1650,10400,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PRIVATE,1230,660,240,100,1979,0,"16822 426th Place Southeast, North Bend, Washington 98045, United States",47.44816,-121.77141,98045,7,4,403.030303030303
14730,7504000820,6/11/2021,1650000.0,3,2.0,2810,5964,1.0,NO,NO,NO,NONE,Very Good,9 Better,Gas,PUBLIC,2810,0,580,100,1984,0,"2526 Sahalee Drive West, Sammamish, Washington 98074, United States",47.6331,-122.06145,98074,9,5,587.1886120996442
14739,2560806010,5/9/2022,988000.0,3,2.0,1840,38793,1.0,YES,NO,YES,EXCELLENT,Average,7 Average,Electricity,PUBLIC,1840,0,0,400,1981,0,"24909 Marine View Drive South, Des Moines, Washington 98198, United States",47.37773,-122.32402,98198,7,3,536.9565217391304
14742,9407110780,11/4/2021,725000.0,3,2.0,1890,10611,1.0,NO,NO,NO,NONE,Very Good,7 Average,Electricity,PRIVATE,1230,660,0,240,1979,0,"42727 Southeast 168th Place, North Bend, Washington 98045, United States",47.44796,-121.769135,98045,7,5,383.5978835978836
14755,5253300054,8/3/2021,630000.0,3,1.0,1190,7351,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1190,0,320,570,1984,0,"1331 North 167th Street, Shoreline, Washington 98133, United States",47.75011,-122.34152,98133,7,3,529.4117647058823
14765,1796500110,8/31/2021,530000.0,3,2.0,1180,3503,1.0,NO,NO,YES,NONE,Average,7 Average,Gas,PUBLIC,1180,0,420,60,2012,0,"26716 178th Loop SE, Covington, Washington 98042, United States",47.36131500000001,-122.103005,98042,7,3,449.1525423728813
14772,3257500115,12/30/2021,490000.0,3,1.0,1310,9479,1.0,NO,NO,NO,NONE,Good,6 Low Average,Electricity,PUBLIC,1310,0,120,220,1986,0,"1490 Loraine Street, Enumclaw, Washington 98022, United States",47.20502000000001,-122.00205,98022,6,4,374.0458015267176
14782,922059157,8/16/2021,500000.0,3,2.0,1340,21293,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PRIVATE,1340,0,420,100,1982,0,"12815 Southeast 218th Place, Kent, Washington 98031, United States",47.40626,-122.16998,98031,7,4,373.13432835820896
14783,7349660130,10/8/2021,575000.0,4,3.0,2600,7990,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1600,1310,0,210,1999,0,"2819 V Court Southeast, Auburn, Washington 98002, United States",47.283845,-122.202815,98002,7,3,221.15384615384616
14795,8651580260,4/26/2022,1858000.0,4,2.5,2410,11827,1.0,NO,NO,NO,NONE,Average,9 Better,Gas,PUBLIC,1780,980,700,340,1985,0,"20110 Northeast 44th Street, Sammamish, Washington 98074, United States",47.64908,-122.07131499999998,98074,9,3,770.954356846473
14816,2188203475,9/14/2021,400000.0,3,1.0,860,9000,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PRIVATE,860,0,440,200,1979,0,"37201 1st Avenue Southwest, Federal Way, Washington 98023, United States",47.26761,-122.33671,98023,7,4,465.1162790697674
14855,7967700570,2/22/2022,480000.0,3,2.5,1350,6775,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,930,860,440,290,1981,0,"27019 35th Avenue South, Kent, Washington 98032, United States",47.359315,-122.28902,98032,7,3,355.55555555555554
14857,1170000340,3/25/2022,752000.0,3,2.0,1050,9900,1.0,NO,NO,NO,NONE,Good,6 Low Average,Electricity,PUBLIC,1050,0,290,0,1986,0,"4976 328th Avenue Northeast, Carnation, Washington 98014, United States",47.65109,-121.9025,98014,6,4,716.1904761904761
14860,7967600264,12/29/2021,643000.0,4,2.5,1900,14705,1.0,NO,NO,NO,NONE,Average,8 Good,Electricity,PRIVATE,1200,1250,550,200,1978,0,"27837 46th Avenue South, Auburn, Washington 98001, United States",47.351365,-122.27643,98001,8,3,338.42105263157896
14882,3459700190,6/1/2022,1465000.0,4,3.0,2450,20500,1.0,NO,NO,NO,NONE,Very Good,8 Good,Gas,PUBLIC,1810,1470,480,110,1978,0,"4025 Northeast 204th Street, Lake Forest Park, Washington 98155, United States",47.77568,-122.28745,98155,8,5,597.9591836734694
14890,2222059137,8/20/2021,428000.0,5,3.0,3610,32500,1.0,NO,NO,YES,NONE,Good,8 Good,Electricity,PRIVATE,2130,1960,1000,660,1982,0,"24006 142nd Avenue Southeast, Kent, Washington 98042, United States",47.38666,-122.15148,98042,8,4,118.5595567867036
14902,3329500460,6/30/2021,551000.0,3,2.0,1330,9482,1.0,NO,NO,NO,NONE,Very Good,7 Average,Gas,PUBLIC,1330,0,440,280,1983,0,"29625 55th Avenue South, Auburn, Washington 98001, United States",47.33567,-122.26587,98001,7,5,414.2857142857143
14917,1770000150,4/7/2022,1000000.0,3,3.0,1970,13590,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PRIVATE,1320,1300,590,290,1978,0,"18600 Northeast 157th Place, Woodinville, Washington 98072, United States",47.74202,-122.09027,98072,7,3,507.61421319796955
14929,8835200260,11/9/2021,720000.0,2,1.0,1110,5000,1.0,NO,YES,NO,NONE,Good,7 Average,Gas,PUBLIC,1110,0,310,0,1983,0,"13422 Northeast 136th Place, Kirkland, Washington 98034, United States",47.72273,-122.16054,98034,7,4,648.6486486486486
14956,3226049527,3/1/2022,810000.0,3,2.0,1390,2244,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,820,800,230,60,1990,0,"10209 8th Avenue Northeast, Seattle, Washington 98125, United States",47.702535,-122.32074,98125,7,3,582.7338129496403
14966,7950302230,10/19/2021,675000.0,3,2.0,1410,3060,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,940,920,450,0,1995,0,"4155 39th Avenue South, Seattle, Washington 98118, United States",47.56458,-122.2842,98118,7,3,478.72340425531917
14968,6189200265,11/29/2021,1355000.0,3,2.0,1080,14398,1.0,NO,NO,YES,GOOD,Good,7 Average,Gas,PUBLIC,1080,920,380,50,1981,0,"2422 124th Place Northeast, Bellevue, Washington 98005, United States",47.63255,-122.173932,98005,7,4,1254.6296296296296
15000,1471620260,6/28/2021,500000.0,3,2.0,1680,16454,1.0,NO,NO,YES,NONE,Average,8 Good,Gas,PRIVATE,1680,0,0,500,1984,0,"44422 Southeast 142nd Place, North Bend, Washington 98045, United States",47.47205,-121.74528,98045,8,3,297.6190476190476
15050,3329500610,11/2/2021,490000.0,3,3.0,1940,7750,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1390,1250,510,100,1983,0,"5329 South 297th Place, Auburn, Washington 98001, United States",47.33392,-122.26691,98001,7,3,252.57731958762886
15067,2589300067,8/2/2021,820000.0,3,3.0,2190,7407,1.0,NO,NO,YES,NONE,Average,8 Good,Electricity,PUBLIC,1550,960,320,0,2011,0,"4828 South Fontanelle Street, Seattle, Washington 98118, United States",47.53649,-122.27142,98118,8,3,374.42922374429224
15070,4046500170,12/29/2021,735000.0,3,2.0,1410,15000,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PRIVATE,1410,0,460,0,1978,0,"31325 Northeast 106th Street, Carnation, Washington 98014, United States",47.6925,-121.91985,98014,7,3,521.2765957446809
15074,2473460700,6/17/2021,574000.0,3,2.0,1950,7618,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1330,1150,530,360,1978,0,"17318 160th Place Southeast, Renton, Washington 98058, United States",47.44669,-122.12637,98058,8,3,294.35897435897436
15075,9828702165,3/21/2022,1718310.0,3,3.0,1490,4800,1.0,NO,NO,NO,AVERAGE,Good,7 Average,Electricity,PUBLIC,1100,1040,570,200,1982,0,"1831 26th Avenue, Seattle, Washington 98122, United States",47.61855,-122.298995,98122,7,4,1153.2281879194632
15096,3355900196,9/21/2021,439900.0,3,2.0,1190,11200,1.0,NO,NO,YES,NONE,Average,7 Average,Gas,PUBLIC,1190,0,440,0,1992,0,"218 Butte Avenue Southeast, Pacific, Washington 98047, United States",47.265385,-122.245895,98047,7,3,369.66386554621846
15098,9538910070,9/10/2021,2000000.0,3,3.0,3140,11958,1.0,NO,YES,NO,NONE,Good,8 Good,Gas,PUBLIC,2080,1410,460,570,1984,0,"13455 Southeast 24th Street, Bellevue, Washington 98005, United States",47.58975,-122.160452,98005,8,4,636.9426751592357
15105,2126059051,11/21/2021,1400000.0,4,3.0,2080,13483,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1130,950,400,160,1993,0,"12633 Northeast 140th Street, Kirkland, Washington 98034, United States",47.72565,-122.17143,98034,7,4,673.0769230769231
15131,7211340030,11/6/2021,577000.0,3,1.0,1010,10168,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PUBLIC,1010,0,480,0,1979,0,"4105 Kings Court, Carnation, Washington 98014, United States",47.64528,-121.91189,98014,7,4,571.2871287128713
15139,5557310310,8/25/2021,430000.0,3,2.0,1280,6825,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,850,430,480,60,1986,0,"918 Southwest 316th Place, Federal Way, Washington 98023, United States",47.31864,-122.34778500000002,98023,7,4,335.9375
15187,8648220130,12/28/2021,450000.0,3,2.5,1560,10259,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PRIVATE,1230,650,430,70,1988,0,"27054 200th Avenue Southeast, Covington, Washington 98042, United States",47.35892,-122.07462,98042,7,3,288.46153846153845
15198,4027700975,7/15/2021,770000.0,3,2.5,1680,9214,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1240,640,490,190,1985,0,"20428 61st Avenue Northeast, Kenmore, Washington 98028, United States",47.77696,-122.26288999999998,98028,7,3,458.3333333333333
15202,3901000030,11/9/2021,925000.0,3,2.0,1060,10390,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1060,0,430,200,1986,0,"11119 Northeast 112th Street, Kirkland, Washington 98033, United States",47.700195,-122.192625,98033,7,3,872.6415094339623
15216,3876540130,12/1/2021,610000.0,3,3.0,1640,7281,1.0,NO,NO,NO,NONE,Very Good,7 Average,Electricity,PUBLIC,1260,670,510,80,1984,0,"37629 26th Drive South, Federal Way, Washington 98003, United States",47.2634,-122.3031,98003,7,5,371.9512195121951
15222,6084600450,10/25/2021,523000.0,3,2.5,1840,8768,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1410,790,580,290,1987,0,"4715 South 309th Street, Auburn, Washington 98001, United States",47.32407,-122.27428,98001,7,3,284.2391304347826
15225,421079116,5/5/2022,815000.0,3,2.0,1330,39300,1.0,NO,NO,NO,NONE,Very Good,7 Average,Electricity,PRIVATE,1330,0,0,210,1987,0,"29622 322nd Avenue Southeast, Ravensdale, Washington 98051, United States",47.33414000000001,-121.913515,98051,7,5,612.781954887218
15236,6673070250,7/22/2021,725000.0,3,2.5,1890,8175,1.0,NO,NO,NO,NONE,Very Good,8 Good,Gas,PUBLIC,1390,760,480,310,1981,0,"2206 Southeast 21st Street, Renton, Washington 98055, United States",47.4613,-122.18902,98055,8,5,383.5978835978836
15239,5466410090,4/19/2022,500000.0,3,2.0,1310,5685,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1310,1290,420,100,1994,0,"13614 Southeast 274th Place, Kent, Washington 98042, United States",47.355725,-122.159395,98042,7,3,381.6793893129771
15243,7812500300,2/23/2022,750000.0,5,3.0,2130,3434,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1330,1280,480,0,2001,0,"12248 58th Place South, Seattle, Washington 98178, United States",47.49334,-122.25995,98178,7,3,352.11267605633805
15289,9264910780,12/29/2021,559000.0,3,3.0,2260,7700,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1270,990,570,200,1981,0,"32743 6th Avenue Southwest, Federal Way, Washington 98023, United States",47.30824000000001,-122.34215,98023,8,3,247.34513274336283
15299,8682280960,4/26/2022,1650000.0,2,2.5,2305,6117,1.0,NO,YES,NO,NONE,Average,8 Good,Gas,PUBLIC,2305,0,640,330,2005,0,"11898 Big Leaf Way NE, Redmond, Washington 98053, United States",47.70502000000001,-122.01122,98053,8,3,715.8351409978308
15301,1402660140,6/14/2021,850000.0,4,2.5,2210,7866,1.0,NO,NO,NO,NONE,Good,9 Better,Gas,PUBLIC,1620,770,550,200,1986,0,"18241 157th Avenue Southeast, Renton, Washington 98058, United States",47.43806,-122.1321,98058,9,4,384.61538461538464
15326,3826500870,1/17/2022,705000.0,3,2.5,1760,7350,1.0,NO,NO,NO,NONE,Very Good,8 Good,Electricity,PUBLIC,1180,1180,600,100,1978,0,"24518 128th Place Southeast, Kent, Washington 98030, United States",47.38184,-122.169925,98030,8,5,400.5681818181818
15327,518500990,2/23/2022,1825000.0,2,2.5,2130,2870,1.0,NO,YES,YES,AVERAGE,Average,9 Better,Gas,PUBLIC,1450,1160,480,240,2012,0,"4015 Wells Avenue North, Renton, Washington 98056, United States",47.52797,-122.204043,98056,9,3,856.8075117370892
15334,2806900080,1/27/2022,1115000.0,4,2.5,2280,8884,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1360,1310,610,140,1978,0,"20307 97th Avenue Northeast, Bothell, Washington 98011, United States",47.77548,-122.21166,98011,7,3,489.03508771929825
15347,2132200150,10/28/2021,665000.0,4,2.0,1610,11238,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1090,830,520,110,1981,0,"16015 4th Avenue Northeast, Duvall, Washington 98019, United States",47.74424000000001,-121.97814,98019,7,3,413.04347826086956
15357,3812400876,9/27/2021,410000.0,5,3.0,2550,5897,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1480,1510,440,290,2011,0,"4408 South Myrtle Street, Seattle, Washington 98118, United States",47.539125,-122.27752,98118,7,3,160.7843137254902
